Date : 2024-01-11 15:19:09
Directory : /home/tb/repos/magisim
Total : 179 files,  769350 codes, 6393 comments, 8865 blanks, all 784608 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/tb/repos/magisim/docbak/resources/logo-normal-dark.svg                                                                      | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/docbak/resources/logo-normal-light.svg                                                                     | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/docbak/resources/magisim_logo256.svg                                                                       | XML          |        111 |          1 |          2 |        114 |
| /home/tb/repos/magisim/docs/README.md                                                                                             | Markdown     |         38 |          0 |         30 |         68 |
| /home/tb/repos/magisim/docs/_config.yml                                                                                           | YAML         |         12 |          0 |          4 |         16 |
| /home/tb/repos/magisim/docs/resources/2.svg                                                                                       | XML          |        113 |          1 |          2 |        116 |
| /home/tb/repos/magisim/docs/resources/banner1.svg                                                                                 | XML          |    104,585 |          1 |          2 |    104,588 |
| /home/tb/repos/magisim/docs/resources/banner2.svg                                                                                 | XML          |        103 |          1 |          2 |        106 |
| /home/tb/repos/magisim/docs/resources/epsilon.svg                                                                                 | XML          |     64,210 |          1 |          2 |     64,213 |
| /home/tb/repos/magisim/docs/resources/loadscreen.svg                                                                              | XML          |     48,973 |          1 |          2 |     48,976 |
| /home/tb/repos/magisim/docs/resources/loadscreenlite.svg                                                                          | XML          |     18,405 |          1 |          2 |     18,408 |
| /home/tb/repos/magisim/docs/resources/logo-docs-dark.svg                                                                          | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/docs/resources/logo-docs-light.svg                                                                         | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/docs/resources/logo-normal-dark-devteam.svg                                                                | XML          |         70 |          1 |          2 |         73 |
| /home/tb/repos/magisim/docs/resources/logo-normal-dark.svg                                                                        | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/docs/resources/logo-normal-light.svg                                                                       | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/docs/resources/magisim_logo256.svg                                                                         | XML          |        111 |          1 |          2 |        114 |
| /home/tb/repos/magisim/environment.yml                                                                                            | YAML         |         16 |          0 |          1 |         17 |
| /home/tb/repos/magisim/magisim-esdk/README.md                                                                                     | Markdown     |          2 |          0 |          1 |          3 |
| /home/tb/repos/magisim/magisim-esdk/docs/CONTRIBUTING.md                                                                          | Markdown     |         69 |          0 |         23 |         92 |
| /home/tb/repos/magisim/magisim-esdk/docs/INSTALL.md                                                                               | Markdown     |          0 |          0 |          1 |          1 |
| /home/tb/repos/magisim/magisim-esdk/docs/README.md                                                                                | Markdown     |          3 |          0 |          2 |          5 |
| /home/tb/repos/magisim/magisim-esdk/resources/magisim_logo256.svg                                                                 | XML          |        111 |          1 |          2 |        114 |
| /home/tb/repos/magisim/magisim-esdk/src/tension.py                                                                                | Python       |          7 |          0 |          3 |         10 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/app.json                                                        | JSON         |          1 |          0 |          0 |          1 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/appearance.json                                                 | JSON         |          3 |          0 |          0 |          3 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/core-plugins-migration.json                                     | JSON         |         30 |          0 |          0 |         30 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/core-plugins.json                                               | JSON         |         21 |          0 |          0 |         21 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/hotkeys.json                                                    | JSON         |          1 |          0 |          0 |          1 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/.obsidian/workspace.json                                                  | JSON         |        234 |          0 |          0 |        234 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/Extension SDK/Extension SDK notes.md                                      | Markdown     |         32 |          0 |         13 |         45 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/GitHub Inspiration/links.md                                               | Markdown     |          1 |          0 |          0 |          1 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/Marketing and Pitching/Marketplace.md                                     | Markdown     |          1 |          0 |          1 |          2 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/Marketing and Pitching/Pitching.md                                        | Markdown     |         18 |          0 |          5 |         23 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/Research And Development/Videos and Courses.md                            | Markdown     |          0 |          0 |          1 |          1 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/Research And Development/Whitepapers.md                                   | Markdown     |          8 |          0 |          9 |         17 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/ui dev notes.md                                                           | Markdown     |          2 |          0 |          5 |          7 |
| /home/tb/repos/magisim/notebooks/obsidian/MAGISIM-NOTES/worknotes/notes.md                                                        | Markdown     |         29 |          0 |         14 |         43 |
| /home/tb/repos/magisim/notebooks/pages/test.html                                                                                  | HTML         |          0 |          0 |          1 |          1 |
| /home/tb/repos/magisim/notebooks/resources/visualisation-cpucube.py                                                               | Python       |         29 |         14 |         15 |         58 |
| /home/tb/repos/magisim/notebooks/resources/visualisation-cudacube.py                                                              | Python       |         20 |         13 |         13 |         46 |
| /home/tb/repos/magisim/notebooks/tex/open_source_magnetic_field_suite_magisim.run.xml                                             | XML          |         82 |          3 |          1 |         86 |
| /home/tb/repos/magisim/notebooks/tex/open_source_magnetic_field_suite_magisim.tex                                                 | LaTeX        |        121 |          7 |         59 |        187 |
| /home/tb/repos/magisim/notebooks/tex/template_Report.tex                                                                          | LaTeX        |          8 |          1 |          7 |         16 |
| /home/tb/repos/magisim/resources/2.svg                                                                                            | XML          |        113 |          1 |          2 |        116 |
| /home/tb/repos/magisim/resources/Magisim.csv                                                                                      | CSV          |         16 |          0 |          3 |         19 |
| /home/tb/repos/magisim/resources/banner1.svg                                                                                      | XML          |    104,585 |          1 |          2 |    104,588 |
| /home/tb/repos/magisim/resources/banner2.svg                                                                                      | XML          |        103 |          1 |          2 |        106 |
| /home/tb/repos/magisim/resources/epsilon.svg                                                                                      | XML          |     64,210 |          1 |          2 |     64,213 |
| /home/tb/repos/magisim/resources/loadscreen.svg                                                                                   | XML          |     48,973 |          1 |          2 |     48,976 |
| /home/tb/repos/magisim/resources/loadscreenlite.svg                                                                               | XML          |     18,405 |          1 |          2 |     18,408 |
| /home/tb/repos/magisim/resources/logo-docs-dark.svg                                                                               | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/resources/logo-docs-light.svg                                                                              | XML          |     12,210 |          1 |          2 |     12,213 |
| /home/tb/repos/magisim/resources/logo-normal-dark-devteam.svg                                                                     | XML          |         70 |          1 |          2 |         73 |
| /home/tb/repos/magisim/resources/logo-normal-dark.svg                                                                             | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/resources/logo-normal-light.svg                                                                            | XML          |         55 |          1 |          2 |         58 |
| /home/tb/repos/magisim/resources/magisim_logo256.svg                                                                              | XML          |        111 |          1 |          2 |        114 |
| /home/tb/repos/magisim/resources/old-env-nouse.yml                                                                                | YAML         |         11 |          0 |          1 |         12 |
| /home/tb/repos/magisim/src/resources/cuda-mandelbrot.py                                                                           | Python       |          0 |          0 |          1 |          1 |
| /home/tb/repos/magisim/src/tests/02-absorbing-object.ipynb                                                                        | JSON         |        165 |          0 |          1 |        166 |
| /home/tb/repos/magisim/src/tests/05-lenses-and-analysing-lensing-actions.ipynb                                                    | JSON         |        353 |          0 |          1 |        354 |
| /home/tb/repos/magisim/src/tests/06-GRIN-medium-and-analysing-refraction.ipynb                                                    | JSON         |        393 |          0 |          1 |        394 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fd1d-cuda-acc.py                                                  | Python       |         66 |         29 |         21 |        116 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fd2d.py                                                           | Python       |        142 |         26 |         41 |        209 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterial.py                                                     | Python       |         68 |         13 |         16 |         97 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv2.py                                                   | Python       |         50 |         16 |         19 |         85 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv3.py                                                   | Python       |         50 |         16 |         16 |         82 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv4.py                                                   | Python       |         51 |         17 |         18 |         86 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv5.py                                                   | Python       |         74 |         23 |         24 |        121 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv6.py                                                   | Python       |         91 |         18 |         21 |        130 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv7.py                                                   | Python       |         91 |         18 |         22 |        131 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv8.py                                                   | Python       |        117 |         22 |         28 |        167 |
| /home/tb/repos/magisim/src/tests/cuda-processing/simulation/old/fdmaterialv9.py                                                   | Python       |         91 |         21 |         22 |        134 |
| /home/tb/repos/magisim/src/tests/cuda-tests.py                                                                                    | Python       |         94 |         11 |         18 |        123 |
| /home/tb/repos/magisim/src/tests/extension_880843c55c42/02-absorbing-object.ipynb                                                 | JSON         |        154 |          0 |          1 |        155 |
| /home/tb/repos/magisim/src/tests/extension_880843c55c42/absorb.py                                                                 | Python       |         21 |          8 |         10 |         39 |
| /home/tb/repos/magisim/src/tests/extension_880843c55c42/d8b29835-ad56-4d0c-90b6-880843c55c42-eload.py                             | Python       |         31 |          4 |         10 |         45 |
| /home/tb/repos/magisim/src/tests/extension_880843c55c42/d8b29835-ad56-4d0c-90b6-880843c55c42-settings.py                          | Python       |          2 |          0 |          0 |          2 |
| /home/tb/repos/magisim/src/tests/extension_880843c55c42/epsilon.py                                                                | Python       |         52 |         23 |         16 |         91 |
| /home/tb/repos/magisim/src/tests/fd2d-test.py                                                                                     | Python       |         51 |         10 |         17 |         78 |
| /home/tb/repos/magisim/src/tests/fd2d.py                                                                                          | Python       |         72 |         10 |         20 |        102 |
| /home/tb/repos/magisim/src/tests/fd2d2.py                                                                                         | Python       |         71 |          9 |         20 |        100 |
| /home/tb/repos/magisim/src/tests/fd3d-raw-noedit.py                                                                               | Python       |        374 |         88 |         49 |        511 |
| /home/tb/repos/magisim/src/tests/fd3d-real-plot-raw-noedit.py                                                                     | Python       |        340 |         36 |         47 |        423 |
| /home/tb/repos/magisim/src/tests/fdtd-tests-optimized.py                                                                          | Python       |         49 |          9 |         18 |         76 |
| /home/tb/repos/magisim/src/tests/fdtd-tests-refactored.py                                                                         | Python       |         52 |         16 |         17 |         85 |
| /home/tb/repos/magisim/src/tests/fdtd-tests.py                                                                                    | Python       |         62 |         19 |         24 |        105 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/demo.py                                                                 | Python       |         64 |         18 |         22 |        104 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/example_extensions/my_extension.py                                      | Python       |         24 |          3 |          9 |         36 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/extensionmagic/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py            | Python       |         10 |          0 |          3 |         13 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/extensions/extensionmagic/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py | Python       |         10 |          0 |          3 |         13 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/extent.py                                                               | Python       |         50 |         10 |         15 |         75 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/iface.py                                                                | Python       |         21 |         43 |          7 |         71 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/iface2.py                                                               | Python       |         12 |          0 |          3 |         15 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/loaded-exts/my-module.py                                                | Python       |         12 |          4 |          4 |         20 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/loaded-exts/my2-module.py                                               | Python       |         12 |          4 |          4 |         20 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/loader-test.py                                                          | Python       |         27 |          8 |         10 |         45 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/lt2.py                                                                  | Python       |         17 |          2 |          9 |         28 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/magisim_config.py                                                       | Python       |         11 |          0 |          5 |         16 |
| /home/tb/repos/magisim/src/tests/gradio-extension-loading/testzip.py                                                              | Python       |         18 |          0 |         10 |         28 |
| /home/tb/repos/magisim/src/tests/gradio-gui-components-test.py                                                                    | Python       |         48 |          9 |         14 |         71 |
| /home/tb/repos/magisim/src/tests/gradio-tests.py                                                                                  | Python       |         82 |          3 |         15 |        100 |
| /home/tb/repos/magisim/src/tests/gradio-theming.py                                                                                | Python       |          2 |          0 |          1 |          3 |
| /home/tb/repos/magisim/src/tests/guitest/nodes/index.html                                                                         | HTML         |         22 |          0 |          5 |         27 |
| /home/tb/repos/magisim/src/tests/guitest/nodes/litegraph.css                                                                      | CSS          |        573 |         12 |         96 |        681 |
| /home/tb/repos/magisim/src/tests/guitest/nodes/litegraph.js                                                                       | JavaScript   |     22,778 |      2,521 |      3,596 |     28,895 |
| /home/tb/repos/magisim/src/tests/nodemgr2/builtin_nodemgr_eload.py                                                                | Python       |         20 |          4 |          4 |         28 |
| /home/tb/repos/magisim/src/tests/nodemgr2/nodemgr.py                                                                              | Python       |         13 |         38 |          8 |         59 |
| /home/tb/repos/magisim/src/tests/plotly_live_update_test.py                                                                       | Python       |         21 |          9 |         12 |         42 |
| /home/tb/repos/magisim/src/tests/plotly_magisim_test.py                                                                           | Python       |         54 |         18 |         23 |         95 |
| /home/tb/repos/magisim/src/tests/qt/magisim-core-qt-gui-test-1/widget.py                                                          | Python       |         22 |          1 |          7 |         30 |
| /home/tb/repos/magisim/src/tests/run.py                                                                                           | Python       |         33 |          7 |          8 |         48 |
| /home/tb/repos/magisim/src/tests/sockets_test/client.py                                                                           | Python       |          7 |          1 |          2 |         10 |
| /home/tb/repos/magisim/src/tests/sockets_test/client2.py                                                                          | Python       |         11 |          1 |          2 |         14 |
| /home/tb/repos/magisim/src/tests/sockets_test/for_tibi/json.json                                                                  | JSON         |         23 |          0 |          0 |         23 |
| /home/tb/repos/magisim/src/tests/sockets_test/for_tibi/json.yml                                                                   | YAML         |         13 |          1 |          3 |         17 |
| /home/tb/repos/magisim/src/tests/sockets_test/interface.py                                                                        | Python       |         55 |          0 |         12 |         67 |
| /home/tb/repos/magisim/src/tests/sockets_test/server.py                                                                           | Python       |         54 |          2 |         14 |         70 |
| /home/tb/repos/magisim/src/tests/sockets_test/socketClass.py                                                                      | Python       |         42 |          5 |          8 |         55 |
| /home/tb/repos/magisim/src/ui/extensionmgr/builtin_extensionmgr_eload.py                                                          | Python       |         27 |          5 |          5 |         37 |
| /home/tb/repos/magisim/src/ui/extensionmgr/extensionmgr.py                                                                        | Python       |         95 |         63 |         14 |        172 |
| /home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/0a119a6d-7f36-4c6c-929b-50812d1e265b-eload.py                     | Python       |         35 |          4 |          8 |         47 |
| /home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/extensionmagic.py                                                 | Python       |         21 |          2 |          8 |         31 |
| /home/tb/repos/magisim/src/ui/extensions/extension_50812d1e265b/extensionmagic_node.py                                            | Python       |          7 |         26 |          0 |         33 |
| /home/tb/repos/magisim/src/ui/extensions/extension_61c6599e8f96/790bcb64-fc36-4cf1-97ba-61c6599e8f96-eload.py                     | Python       |         20 |          5 |          5 |         30 |
| /home/tb/repos/magisim/src/ui/extensions/extension_61c6599e8f96/visualizer.py                                                     | Python       |         17 |          2 |         10 |         29 |
| /home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/20e4e311-43e1-4c3f-af70-caed19de0a8b-eload.py                     | Python       |        175 |         22 |         19 |        216 |
| /home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/20e4e311-43e1-4c3f-af70-caed19de0a8b-settings.py                  | Python       |         14 |          3 |          7 |         24 |
| /home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/freq.py                                                           | Python       |         18 |         51 |         10 |         79 |
| /home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/openmsems.py                                                      | Python       |        167 |         50 |         40 |        257 |
| /home/tb/repos/magisim/src/ui/extensions/extension_caed19de0a8b/requirements.yml                                                  | YAML         |         14 |          0 |          5 |         19 |
| /home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/analyzer.py                                                       | Python       |          2 |          0 |          2 |          4 |
| /home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/fc03a668-f73e-4f92-9df8-d22ce158cb48-eload.py                     | Python       |         28 |          7 |         10 |         45 |
| /home/tb/repos/magisim/src/ui/extensions/extension_d22ce158cb48/fc03a668-f73e-4f92-9df8-d22ce158cb48-settings.py                  | Python       |         14 |          3 |          7 |         24 |
| /home/tb/repos/magisim/src/ui/greeter/builtin_greeter_eload.py                                                                    | Python       |         22 |          3 |          4 |         29 |
| /home/tb/repos/magisim/src/ui/greeter/external/docs.py                                                                            | Python       |         21 |          4 |          4 |         29 |
| /home/tb/repos/magisim/src/ui/greeter/greeter.py                                                                                  | Python       |         47 |         16 |         10 |         73 |
| /home/tb/repos/magisim/src/ui/nodemgr/builtin_nodemgr_eload.py                                                                    | Python       |         25 |          5 |          6 |         36 |
| /home/tb/repos/magisim/src/ui/nodemgr/nodemgr.py                                                                                  | Python       |         41 |         55 |         23 |        119 |
| /home/tb/repos/magisim/src/ui/nodemgr/nodes.js                                                                                    | JavaScript   |          0 |          0 |          1 |          1 |
| /home/tb/repos/magisim/src/ui/nodemgr/static/css/litegraph.css                                                                    | CSS          |        573 |         12 |         96 |        681 |
| /home/tb/repos/magisim/src/ui/nodemgr/static/js/example-req.json                                                                  | JSON         |        179 |          0 |          0 |        179 |
| /home/tb/repos/magisim/src/ui/nodemgr/static/js/litegraph.js                                                                      | JavaScript   |     22,789 |      2,529 |      3,599 |     28,917 |
| /home/tb/repos/magisim/src/ui/settingsmgr/builtin_settingsmg_eload.py                                                             | Python       |         19 |          3 |          4 |         26 |
| /home/tb/repos/magisim/src/ui/settingsmgr/settingsmgr.py                                                                          | Python       |         17 |          2 |          4 |         23 |
| /home/tb/repos/magisim/src/ui/shapeloader/builtin_shapeloader_eload.py                                                            | Python       |         35 |          5 |          8 |         48 |
| /home/tb/repos/magisim/src/ui/shapeloader/builtin_shapeloader_settings.py                                                         | Python       |          2 |          0 |          0 |          2 |
