Date : 2023-11-27 10:30:13
Directory : /home/tb/repos/magisim
Total : 158 files,  700841 codes, 6171 comments, 8655 blanks, all 715667 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| XML          |         28 |    648,089 |         30 |         55 |    648,174 |
| JavaScript   |          4 |     45,586 |      5,059 |      7,199 |     57,844 |
| Python       |         84 |      3,661 |      1,045 |        957 |      5,663 |
| JSON         |         13 |      1,596 |          0 |          4 |      1,600 |
| CSS          |          3 |      1,150 |         24 |        192 |      1,366 |
| YAML         |          6 |        325 |          1 |         13 |        339 |
| Markdown     |         14 |        268 |          0 |        158 |        426 |
| LaTeX        |          2 |        129 |          6 |         63 |        198 |
| HTML         |          2 |         22 |          0 |          6 |         28 |
| Shell Script |          2 |         15 |          6 |          8 |         29 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |        158 |    700,841 |      6,171 |      8,655 |    715,667 |
| . (Files)                                                                                                                         |          5 |        339 |          3 |         40 |        382 |
| docbak                                                                                                                            |          9 |    193,539 |          8 |         44 |    193,591 |
| docbak (Files)                                                                                                                    |          1 |         33 |          0 |         28 |         61 |
| docbak/resources                                                                                                                  |          8 |    193,506 |          8 |         16 |    193,530 |
| docs                                                                                                                              |         10 |    193,552 |          8 |         47 |    193,607 |
| docs (Files)                                                                                                                      |          2 |         46 |          0 |         31 |         77 |
| docs/resources                                                                                                                    |          8 |    193,506 |          8 |         16 |    193,530 |
| magisim-esdk                                                                                                                      |          5 |        190 |          1 |         31 |        222 |
| magisim-esdk/docs                                                                                                                 |          3 |         72 |          0 |         26 |         98 |
| magisim-esdk/resources                                                                                                            |          1 |        111 |          1 |          2 |        114 |
| magisim-esdk/src                                                                                                                  |          1 |          7 |          0 |          3 |         10 |
| notebooks                                                                                                                         |         20 |        641 |         36 |        141 |        818 |
| notebooks/obsidian                                                                                                                |         14 |        381 |          0 |         48 |        429 |
| notebooks/obsidian/MAGISIM-NOTES                                                                                                  |         14 |        381 |          0 |         48 |        429 |
| notebooks/obsidian/MAGISIM-NOTES (Files)                                                                                          |          1 |          2 |          0 |          5 |          7 |
| notebooks/obsidian/MAGISIM-NOTES/.obsidian                                                                                        |          6 |        290 |          0 |          0 |        290 |
| notebooks/obsidian/MAGISIM-NOTES/Extension SDK                                                                                    |          1 |         32 |          0 |         13 |         45 |
| notebooks/obsidian/MAGISIM-NOTES/GitHub Inspiration                                                                               |          1 |          1 |          0 |          0 |          1 |
| notebooks/obsidian/MAGISIM-NOTES/Marketing and Pitching                                                                           |          2 |         19 |          0 |          6 |         25 |
| notebooks/obsidian/MAGISIM-NOTES/Research And Development                                                                         |          2 |          8 |          0 |         10 |         18 |
| notebooks/obsidian/MAGISIM-NOTES/worknotes                                                                                        |          1 |         29 |          0 |         14 |         43 |
| notebooks/pages                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| notebooks/resources                                                                                                               |          2 |         49 |         27 |         28 |        104 |
| notebooks/tex                                                                                                                     |          3 |        211 |          9 |         64 |        284 |
| resources                                                                                                                         |         11 |    260,895 |         10 |         21 |    260,926 |
| src                                                                                                                               |         98 |     51,685 |      6,105 |      8,331 |     66,121 |
| src/resources                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src/tests                                                                                                                         |         58 |     27,319 |      3,159 |      4,417 |     34,895 |
| src/tests (Files)                                                                                                                 |         16 |      2,247 |        227 |        271 |      2,745 |
| src/tests/cuda-processing                                                                                                         |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/cuda-processing/simulation                                                                                              |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/cuda-processing/simulation/old                                                                                          |         11 |        891 |        219 |        248 |      1,358 |
| src/tests/extension_880843c55c42                                                                                                  |          5 |        260 |         35 |         37 |        332 |
| src/tests/gradio-extension-loading                                                                                                |         13 |        288 |         92 |        104 |        484 |
| src/tests/gradio-extension-loading (Files)                                                                                        |          8 |        220 |         81 |         81 |        382 |
| src/tests/gradio-extension-loading/example_extensions                                                                             |          1 |         24 |          3 |          9 |         36 |
| src/tests/gradio-extension-loading/extensionmagic                                                                                 |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/extensions                                                                                     |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/extensions/extensionmagic                                                                      |          1 |         10 |          0 |          3 |         13 |
| src/tests/gradio-extension-loading/loaded-exts                                                                                    |          2 |         24 |          8 |          8 |         40 |
| src/tests/guitest                                                                                                                 |          3 |     23,373 |      2,533 |      3,697 |     29,603 |
| src/tests/guitest/nodes                                                                                                           |          3 |     23,373 |      2,533 |      3,697 |     29,603 |
| src/tests/nodemgr2                                                                                                                |          2 |         33 |         42 |         12 |         87 |
| src/tests/qt                                                                                                                      |          1 |         22 |          1 |          7 |         30 |
| src/tests/qt/magisim-core-qt-gui-test-1                                                                                           |          1 |         22 |          1 |          7 |         30 |
| src/tests/sockets_test                                                                                                            |          7 |        205 |         10 |         41 |        256 |
